Date,Alpha,Delta,Omicron,BA.2,BA.2.12.1,BA.4,BA.5,Other
12/27/2020,9.09,,,,,,,90.91
1/3/2021,0,,,,,,,100
1/10/2021,11.76,,,,,,,88.24
1/17/2021,10,,,,,,,90
1/24/2021,4.65,,,,,,,95.35
1/31/2021,15.79,,,,,,,84.21
2/7/2021,28.33,,,,,,,71.67
2/14/2021,19.51,,,,,,,80.49
2/21/2021,35.57,,,,,,,64.43
2/28/2021,48.77,,,,,,,51.23
3/7/2021,63.91,,,,,,,36.09
3/14/2021,76.99,,,,,,,23.01
3/21/2021,76.39,,,,,,,23.61
3/28/2021,86.33,,,,,,,13.67
4/4/2021,89.06,,,,,,,10.94
4/11/2021,87.3,0,,,,,,12.7
4/18/2021,87.68,0.35,,,,,,11.97
4/25/2021,91.2,1.17,,,,,,7.63
5/2/2021,81.25,4.5,,,,,,14.25
5/9/2021,77.19,6.9,,,,,,15.91
5/16/2021,71.95,16.71,,,,,,11.34
5/23/2021,60.25,26.18,,,,,,13.57
5/30/2021,58.02,31.6,,,,,,10.38
6/6/2021,42.71,50.75,,,,,,6.54
6/13/2021,20.34,74.01,,,,,,5.65
6/20/2021,11.79,80.79,,,,,,7.42
6/27/2021,8.03,79.6,,,,,,12.37
7/4/2021,6.25,83.46,,,,,,10.29
7/11/2021,4.4,93.01,,,,,,2.59
7/18/2021,1.56,95.72,,,,,,2.72
7/25/2021,0.69,98.09,,,,,,1.22
8/1/2021,0.35,98.59,,,,,,1.06
8/8/2021,0.17,99.32,,,,,,0.51
8/15/2021,0.07,99.19,,,,,,0.74
8/22/2021,0.06,99.45,,,,,,0.49
8/29/2021,0,99.45,,,,,,0.55
9/5/2021,,99.26,,,,,,0.74
9/12/2021,,99.64,,,,,,0.36
9/19/2021,,99.78,,,,,,0.22
9/26/2021,,99.7,,,,,,0.3
10/3/2021,,99.85,,,,,,0.15
10/10/2021,,99.31,,,,,,0.69
10/17/2021,,99.82,,,,,,0.18
10/24/2021,,99.94,,,,,,0.06
10/31/2021,,99.82,,,,,,0.18
11/7/2021,,99.93,,,,,,0.07
11/14/2021,,99.85,0,,,,,0.15
11/21/2021,,99.96,0.04,,,,,0
11/28/2021,,99.79,0.16,,,,,0.05
12/5/2021,,98.6,1.34,,,,,0.06
12/12/2021,,69.9,29.86,,,,,0.24
12/19/2021,,24.67,75.21,,,,,0.12
12/26/2021,,7.44,92.35,0.02,,,,0.19
1/2/2022,,4.17,95.79,0,,,,0.04
1/9/2022,,1.5,98.44,0.03,,,,0.03
1/16/2022,,1.09,98.63,0.19,,,,0.09
1/23/2022,,0.56,99.38,0.06,,,,0
1/30/2022,,0.23,99.3,0.31,,,,0.16
2/6/2022,,0.21,98.25,1.34,,,,0.2
2/13/2022,,0.15,98.36,1.49,,,,0
2/20/2022,,0,95.56,3.67,,,,0.77
2/27/2022,,0,92.41,7.59,,,,0
3/6/2022,,0,85.78,14.22,,,,0
3/13/2022,,0,69.1,30.04,0.43,,,0.43
3/20/2022,,0,48.86,50.23,0.46,,,0.45
3/27/2022,,0,23.24,74.65,1.76,,,0.35
4/3/2022,,0.31,15.09,76.1,8.49,,,0.01
4/10/2022,,0,10.14,74.74,15.11,,,0.01
4/17/2022,,,3.61,71.15,25,0.24,,0
4/24/2022,,,1.49,70.26,26.39,1.86,,0
5/1/2022,,,1.87,58.32,36.64,2.43,0.75,-0.01
5/8/2022,,,1.02,55.39,39.94,3.05,0.61,-0.01
5/15/2022,,,0.28,42.66,51.52,3.32,2.22,0
5/22/2022,,,0.1,23.35,65.97,5.89,4.69,0
5/29/2022,,,0.14,17.98,63.49,7.9,10.22,0.27
6/5/2022,,,0,13.45,52,11.27,23.27,0.01
6/12/2022,,,,10.15,56.35,15.74,17.77,-0.01
6/19/2022,,,,,,,,
6/26/2022,,,,,,,,
7/3/2022,,,,,,,,
7/10/2022,,,,,,,,
7/17/2022,,,,,,,,
7/24/2022,,,,,,,,
7/31/2022,,,,,,,,
8/7/2022,,,,,,,,
8/14/2022,,,,,,,,
8/21/2022,,,,,,,,
8/28/2022,,,,,,,,
9/4/2022,,,,,,,,
9/11/2022,,,,,,,,
9/18/2022,,,,,,,,
9/25/2022,,,,,,,,
10/2/2022,,,,,,,,
10/9/2022,,,,,,,,
10/16/2022,,,,,,,,
10/23/2022,,,,,,,,
10/30/2022,,,,,,,,
11/6/2022,,,,,,,,
11/13/2022,,,,,,,,
11/20/2022,,,,,,,,
11/27/2022,,,,,,,,
12/4/2022,,,,,,,,
12/11/2022,,,,,,,,
12/18/2022,,,,,,,,
12/25/2022,,,,,,,,
1/1/2023,,,,,,,,
1/8/2023,,,,,,,,
1/15/2023,,,,,,,,
1/22/2023,,,,,,,,
1/29/2023,,,,,,,,
2/5/2023,,,,,,,,
2/12/2023,,,,,,,,
2/19/2023,,,,,,,,
2/26/2023,,,,,,,,
3/5/2023,,,,,,,,
3/12/2023,,,,,,,,
3/19/2023,,,,,,,,
3/26/2023,,,,,,,,
4/2/2023,,,,,,,,
4/9/2023,,,,,,,,
4/16/2023,,,,,,,,
4/23/2023,,,,,,,,
4/30/2023,,,,,,,,
5/7/2023,,,,,,,,
5/14/2023,,,,,,,,
5/21/2023,,,,,,,,
