measure_date,Central,Central Mountains,Metro,Metro South,Northeast,Northwest,San Luis Valley,South Central,South East Central,Southwest,West Central Partnership
3/1/2020,0,2,6,0,6,0,1,2,1,0,1
3/2/2020,0,2,6.55,0,6.45,0,1,2,1,0,1
3/3/2020,0,2,7.55,0,6.45,0,1,2,1,0,1
3/4/2020,1,2,7.55,0,6.45,0,1,2,1,0,1
3/5/2020,1,2,7.55,0,6.45,0,1,2,1,0,1
3/6/2020,1,2,7.55,0,6.45,0,1,2,1,0,1
3/7/2020,1,2,8.55,0,6.45,0,1,2,1,0,1
3/8/2020,3,2,13.55,0,6.45,0,1,2,1,0,1
3/9/2020,4,2,13.55,1,8.45,0,1,2,1,0,1
3/10/2020,5,3,13.55,1,8.45,0,1,2,1,0,1
3/11/2020,6,4,15.55,1,8.45,0,1,2,1,0,2
3/12/2020,6,3,18.55,1,10.45,0,1,2,1,0,2
3/13/2020,8,4,19.55,2,11.45,0,1,2,1,0,3
3/14/2020,9.96,5,22.59,3,12.41,0,1,2,1,0,2
3/15/2020,11.96,6,28.59,3,15.41,1,1,2,1,0,2
3/16/2020,13,6,43.59,3,20.41,1,1,2,1,0,2
3/17/2020,15,7,44.59,6,28.41,1,1.05,2,1,0,3.95
3/18/2020,16,6,63.59,10,34.41,0,1.05,2,1,0,6.95
3/19/2020,22.95,7,84.55,13,41.45,1,1.05,2.05,1,0,5.95
3/20/2020,26.72,7.99,100.55,17.23,46.45,1,1.05,2.05,2,0,5.96
3/21/2020,30.96,8.99,124.27,15.23,46.45,1,1.15,2.05,2,0,8.86
3/22/2020,31.96,9.99,153.92,15.23,53.8,1,1.15,2.05,2,0,8.86
3/23/2020,38.96,15.98,204.89,17.36,67.7,1,1.15,4.05,2,1,9.87
3/24/2020,48.91,15.98,251.89,18.36,78.7,1,1.2,5.1,2,1,10.82
3/25/2020,47.19,17.98,288.24,21.49,85.94,1,1.3,5.1,2,1,14.72
3/26/2020,54.24,24.98,324.24,26.49,100.94,1,2.2,4.05,2,1,11.82
3/27/2020,60.24,32.97,366.6,32.23,105.84,1,2.2,4.05,2,0,9.83
3/28/2020,63.47,32.97,401.51,41.13,113.8,1,2.25,4.05,2,1,10.78
3/29/2020,63.51,30.97,426.71,42.13,117.61,1,2.25,5.01,2.99,2,10.78
3/30/2020,74.51,32.97,474.77,45.13,129.55,1,2.25,6.01,1.99,6,11.78
3/31/2020,78.46,27.99,525.22,46.26,141.97,2,2.25,6.06,1.99,7,11.76
4/1/2020,77.51,29.98,564.48,46.39,146.58,3,2.25,5.01,2.99,6,11.77
4/2/2020,79.47,28.98,597,47.39,148.06,4,2.2,4.05,2.99,5,10.82
4/3/2020,79.52,29.98,598.81,51.52,148.11,6,2.3,4,2,3,12.72
4/4/2020,79.52,29.98,603.4,52.52,157.52,6,2.3,3,1,4,11.72
4/5/2020,80.52,26.99,602.5,52.65,161.29,8,2.3,3,1,2,11.71
4/6/2020,77.52,23.99,642.79,52.91,161.74,8,2.3,3,1,2,12.71
4/7/2020,82.45,22.99,648.29,51.87,178.28,7,2.25,2.07,1,2,11.76
4/8/2020,78.45,20.99,647.91,49.61,186.91,7,2.25,3.07,1,2,11.76
