Obs,deathdate,totaldeaths,agedeaths1,agedeaths2,agedeaths3,agedeaths4,racedeaths1,racedeaths2,racedeaths3,racedeaths4,racedeaths5,racedeaths6,racedeaths7,raceagedeaths1,raceagedeaths2,raceagedeaths3,raceagedeaths4,raceagedeaths5,raceagedeaths6,raceagedeaths7,raceagedeaths8,raceagedeaths9,raceagedeaths10,raceagedeaths11,raceagedeaths12,raceagedeaths13,raceagedeaths14,raceagedeaths15,raceagedeaths16,raceagedeaths17,raceagedeaths18,raceagedeaths19,raceagedeaths20,cumuldeaths
1,3/9/2020,1,1,1,1,1,2,1,1,1,1,1,1,.,.,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1
2,3/13/2020,3,1,3,1,2,1,1,1,1,1,3,1,.,.,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,4
3,3/15/2020,1,1,2,1,1,1,1,1,1,1,1,2,.,.,.,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,5
4,3/16/2020,3,1,1,2,3,1,2,1,2,1,2,1,.,.,.,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,8
5,3/17/2020,3,1,1,2,3,1,4,3,2,1,2,1,.,.,.,.,1,1,.,1,1,1,1,1,1,1,1,1,3,2,1,2,11
6,3/18/2020,3,1,1,1,3,1,2,3,1,2,1,3,.,.,.,.,1,1,.,1,1,1,1,1,2,2,2,1,1,1,1,1,14
7,3/19/2020,5,1,1,3,5,1,2,2,1,1,5,1,.,.,.,.,1,1,.,1,1,1,1,1,1,2,1,1,2,1,1,5,19
8,3/20/2020,1,1,1,2,1,1,1,1,2,1,1,1,.,.,.,.,.,1,.,.,1,1,.,1,1,3,1,1,1,6,1,1,20
9,3/21/2020,6,1,1,2,5,1,1,6,2,2,2,1,.,.,.,.,.,1,.,.,1,1,.,1,1,1,2,1,1,2,1,1,26
10,3/22/2020,4,1,1,4,3,1,1,3,2,1,2,2,.,.,.,.,.,.,.,.,1,1,.,1,1,1,2,1,1,1,2,2,30
11,3/23/2020,6,1,1,4,6,1,1,1,3,2,4,1,.,.,.,.,.,.,.,.,1,1,.,1,1,3,4,1,2,1,2,4,36
12,3/24/2020,7,1,1,2,5,1,2,2,3,2,6,2,.,.,.,.,.,.,.,.,1,1,.,1,1,3,1,1,1,1,2,4,43
13,3/25/2020,16,1,1,4,14,1,1,3,3,3,13,2,.,.,.,.,.,.,.,.,1,1,.,1,2,2,3,1,1,2,3,11,59
14,3/26/2020,4,1,1,4,3,1,1,2,4,1,4,3,.,.,.,.,.,.,.,.,2,1,.,1,1,1,3,1,3,2,2,3,63
15,3/27/2020,10,1,1,4,7,1,3,2,3,1,6,2,.,.,.,.,.,.,.,.,1,1,.,1,1,2,2,1,1,1,3,4,73
16,3/28/2020,12,.,1,8,10,1,1,2,5,1,8,1,.,.,.,.,.,.,.,.,1,1,.,1,1,2,3,1,2,3,3,8,85
17,3/29/2020,11,.,1,3,9,1,2,4,6,1,7,1,.,.,.,.,.,.,.,.,1,1,.,1,1,1,2,1,1,3,3,6,96
18,3/30/2020,20,.,1,3,16,1,1,3,4,1,13,1,.,.,.,.,.,.,.,.,1,1,.,1,1,2,1,1,1,1,4,12,116
19,3/31/2020,15,.,1,4,10,1,1,2,3,2,8,1,.,.,.,.,.,.,.,.,1,1,.,.,2,2,3,1,3,1,2,5,131
20,4/1/2020,30,.,1,6,28,1,3,1,8,2,24,1,.,.,.,.,.,.,.,.,1,1,.,.,1,2,1,1,3,2,6,22,161
21,4/2/2020,22,.,1,5,18,1,3,2,8,1,12,3,.,.,.,.,.,.,.,.,1,2,.,.,1,2,1,1,1,4,5,12,183
22,4/3/2020,20,.,1,4,16,1,1,4,7,1,16,1,.,.,.,.,.,.,.,.,1,1,.,.,1,1,3,1,1,2,4,12,203
23,4/4/2020,29,.,1,6,25,1,1,2,5,1,16,1,.,.,.,.,.,.,.,.,1,1,.,.,1,4,2,1,1,3,3,15,232
24,4/5/2020,34,.,1,3,26,1,1,3,10,2,21,1,.,.,.,.,.,.,.,.,1,2,.,.,1,2,1,1,1,3,9,18,266
25,4/6/2020,29,.,1,2,26,1,1,4,8,1,22,3,.,.,.,.,.,.,.,.,1,1,.,.,1,4,1,.,2,4,6,19,295
