dates,CountOfPatientsInHospitalWithCOVID,HospCOVIDPatients0to19,HospCOVIDPatients20to39,HospCOVIDPatients40to64,HospCOVIDPatients65plus,CountOfPatientsInICUWithCOVID,ICUCOVIDPatients0to19,ICUCOVIDPatients20to39,ICUCOVIDPatients40to64,ICUCOVIDPatients65plus,CountOfPatientsOnVentWithCOVID,VentCOVIDPatients0to19,VentCOVIDPatients20to39,VentCOVIDPatients40to64,VentCOVIDPatients65plus,CountOfPatientsOnDialysisWithCOVID,DialysisCOVIDPatients0to19,DialysisCOVIDPatients20to39,DialysisCOVIDPatients40to64,DialysisCOVIDPatients65plus
3/1/2020,19,0,0,2,17,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3/2/2020,20,1,0,2,17,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0
3/3/2020,21,1,0,2,18,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0
3/4/2020,22,1,0,3,18,1,1,0,0,0,2,1,0,0,1,0,0,0,0,0
3/5/2020,22,1,0,3,18,2,1,0,0,1,2,1,0,0,1,0,0,0,0,0
3/6/2020,23,1,0,4,18,2,1,0,0,1,2,1,0,0,1,0,0,0,0,0
3/7/2020,24,1,1,4,18,3,1,1,0,1,2,1,0,0,1,0,0,0,0,0
3/8/2020,31,1,1,5,24,4,1,1,0,2,3,1,0,0,2,0,0,0,0,0
3/9/2020,36,1,2,7,26,7,1,1,0,5,4,1,0,0,3,0,0,0,0,0
3/10/2020,38,2,2,9,25,9,2,1,1,5,7,2,0,1,4,0,0,0,0,0
3/11/2020,45,2,3,13,27,10,2,1,2,5,9,2,0,2,5,0,0,0,0,0
3/12/2020,49,2,3,15,29,9,2,1,1,5,7,2,0,1,4,0,0,0,0,0
3/13/2020,58,2,4,19,33,14,2,2,5,5,9,2,0,3,4,0,0,0,0,0
3/14/2020,65,2,5,20,38,20,2,3,6,9,12,2,0,5,5,1,0,1,0,0
3/15/2020,80,2,6,26,46,26,2,3,9,12,13,2,0,6,5,2,0,1,0,1
3/16/2020,103,2,11,36,54,33,2,2,15,14,18,2,0,7,9,2,0,1,0,1
3/17/2020,121,2,12,44,63,36,2,1,16,17,21,2,0,7,12,3,0,1,1,1
3/18/2020,153,2,11,68,72,47,2,2,20,23,23,2,0,8,13,3,0,0,1,2
3/19/2020,193,2,18,81,92,58,2,3,26,27,31,2,1,10,18,3,0,0,1,2
3/20/2020,227,2,20,93,112,78,2,6,34,36,44,2,4,14,24,3,0,0,1,2
3/21/2020,260,2,26,101,131,91,2,11,37,41,55,2,7,19,27,5,0,0,2,3
3/22/2020,298,2,30,117,149,104,2,12,44,46,61,2,8,24,27,4,0,0,2,2
3/23/2020,378,6,33,152,187,131,3,13,58,57,79,3,10,31,35,5,0,0,2,3
3/24/2020,448,9,44,178,217,162,4,17,67,74,96,4,14,36,42,5,0,0,2,3
3/25/2020,502,8,50,206,238,192,4,19,82,87,118,4,13,46,55,6,0,0,2,4
3/26/2020,565,7,54,235,269,220,4,21,101,94,127,4,13,57,53,9,0,0,4,5
3/27/2020,624,5,61,260,298,247,4,26,110,107,144,4,16,65,59,8,0,0,3,5
