"zip","county_id","share_of_zip_in_county"
"80002","08059",0.96
"80002","08001",0.04
"80003","08059",0.83
"80003","08001",0.17
"80004","08059",1.00
"80005","08059",1.00
"80007","08059",1.00
"80010","08001",0.50
"80010","08005",0.50
"80011","08005",0.61
"80011","08001",0.39
"80012","08005",1.00
"80013","08005",1.00
"80014","08005",0.87
"80014","08031",0.13
"80015","08005",1.00
"80016","08005",1.00
"80017","08005",1.00
"80018","08005",1.00
"80019","08001",1.00
"80020","08014",0.82
"80020","08059",0.16
"80020","08013",0.02
"80021","08059",0.85
"80021","08014",0.15
"80022","08001",1.00
"80023","08014",0.74
"80023","08001",0.26
"80024","08001",1.00
"80025","08013",1.00
"80026","08013",1.00
"80027","08013",1.00
"80030","08001",1.00
"80031","08001",0.92
"80031","08059",0.08
"80033","08059",1.00
"80045","08001",1.00
"80101","08039",1.00
"80102","08001",0.49
"80102","08005",0.42
"80102","08039",0.09
"80103","08005",0.75
"80103","08001",0.25
"80104","08035",1.00
"80105","08005",0.42
"80105","08001",0.36
"80105","08039",0.22
"80106","08041",0.77
"80106","08039",0.21
"80106","08035",0.02
"80107","08039",1.00
"80108","08035",1.00
"80109","08035",1.00
"80110","08005",0.96
"80110","08031",0.04
"80111","08005",0.99
"80111","08031",0.01
"80112","08005",0.87
"80112","08035",0.13
"80113","08005",1.00
"80116","08035",1.00
"80117","08039",1.00
"80118","08035",1.00
"80120","08005",1.00
"80121","08005",1.00
"80122","08005",1.00
"80123","08059",0.49
"80123","08031",0.27
"80123","08005",0.24
"80124","08035",1.00
"80125","08035",1.00
"80126","08035",1.00
"80127","08059",1.00
"80128","08059",0.94
"80128","08005",0.06
"80129","08035",1.00
"80130","08035",1.00
"80131","08035",1.00
"80132","08041",1.00
"80133","08041",0.96
"80133","08035",0.04
"80134","08035",1.00
"80135","08035",0.99
"80135","08059",0.01
"80136","08001",0.64
"80136","08005",0.36
"80137","08005",0.65
"80137","08001",0.35
"80138","08035",0.89
"80138","08039",0.11
"80202","08031",1.00
"80203","08031",1.00
"80204","08031",1.00
"80205","08031",1.00
"80206","08031",1.00
"80207","08031",1.00
"80209","08031",1.00
"80210","08031",1.00
"80211","08031",1.00
"80212","08031",0.80
"80212","08059",0.17
"80212","08001",0.03
"80214","08059",0.99
"80214","08031",0.01
